area,birthRate
Utah,14.9
North Dakota,14
Alaska,13.7
South Dakota,13.5
Nebraska,13.2
Texas,13.2
Louisiana,12.8
Oklahoma,12.6
Kansas,12.5
Mississippi,12.4
Arkansas,12.3
Idaho,12.2
Indiana,12.2
Kentucky,12.1
Georgia,12
Iowa,12
Minnesota,12
Missouri,12
Hawaii,11.9
Tennessee,11.9
Alabama,11.8
Maryland,11.8
Nevada,11.8
Virginia,11.7
New York,11.6
Ohio,11.6
California,11.5
North Carolina,11.5
Illinois,11.4
New Jersey,11.4
Washington,11.4
Wyoming,11.4
Arizona,11.3
South Carolina,11.1
Colorado,11
Delaware,11
Michigan,11
New Mexico,11
Wisconsin,11
Montana,10.8
Pennsylvania,10.6
Florida,10.4
Oregon,10.1
West Virginia,10.1
Massachusetts,10
Rhode Island,9.9
Connecticut,9.7
Maine,9.2
New Hampshire,8.8
Vermont,8.7
